DateTime,Source,Air Temp,Humidity,Soil Moisture
"April 6, 2021 at 12:28PM",Garden_Data2,36.2,17,750
"April 6, 2021 at 12:43PM",Garden_Data2,32.4,23,792
"April 6, 2021 at 12:57PM",Garden_Data2,33.3,21,804
"April 6, 2021 at 01:12PM",Garden_Data2,33.7,19,805
"April 6, 2021 at 01:26PM",Garden_Data2,33.9,20,805
"April 6, 2021 at 01:40PM",Garden_Data2,34.7,17,805
"April 6, 2021 at 01:55PM",Garden_Data2,36.4,16,806
"April 6, 2021 at 02:10PM",Garden_Data2,37.7,15,811
"April 6, 2021 at 02:25PM",Garden_Data2,39.1,15,811
"April 6, 2021 at 02:39PM",Garden_Data2,39.9,13,811
"April 6, 2021 at 02:53PM",Garden_Data2,40.9,13,813
"April 6, 2021 at 03:08PM",Garden_Data2,44.3,16,814
"April 6, 2021 at 03:23PM",Garden_Data2,47.5,17,816
"April 6, 2021 at 03:37PM",Garden_Data2,49,19,816
"April 6, 2021 at 03:51PM",Garden_Data2,51.8,19,817
"April 6, 2021 at 04:05PM",Garden_Data2,50.7,19,816
"April 6, 2021 at 04:20PM",Garden_Data2,51.2,19,819
"April 6, 2021 at 04:35PM",Garden_Data2,52.2,20,821
"April 6, 2021 at 04:49PM",Garden_Data2,52.2,20,814
"April 6, 2021 at 05:03PM",Garden_Data2,35.5,13,805
"April 6, 2021 at 05:18PM",Garden_Data2,30.9,17,802
"April 6, 2021 at 05:33PM",Garden_Data2,29.4,19,806
"April 6, 2021 at 05:47PM",Garden_Data2,28.5,20,809
"April 6, 2021 at 06:01PM",Garden_Data2,27.9,21,809
"April 6, 2021 at 06:16PM",Garden_Data2,27.4,21,811
"April 6, 2021 at 06:31PM",Garden_Data2,27,22,814
"April 6, 2021 at 06:45PM",Garden_Data2,26.5,22,818
"April 6, 2021 at 06:54PM",Garden_Data2,25.9,23,820
"April 6, 2021 at 07:09PM",Garden_Data2,25.8,25,825
"April 6, 2021 at 07:23PM",Garden_Data2,25.3,23,826
"April 6, 2021 at 07:38PM",Garden_Data2,24.6,25,831
"April 6, 2021 at 07:53PM",Garden_Data2,24,26,832
"April 6, 2021 at 08:07PM",Garden_Data2,23.3,29,835
"April 6, 2021 at 08:22PM",Garden_Data2,22.2,37,840
"April 6, 2021 at 08:36PM",Garden_Data2,21.4,37,842
