Time,Source,Soil Temp,Light
"April 6, 2021 at 12:28PM",Garden_Data,27.38,1024
"April 6, 2021 at 12:43PM",Garden_Data,26.31,1024
"April 6, 2021 at 12:57PM",Garden_Data,27.31,1024
"April 6, 2021 at 01:12PM",Garden_Data,28.56,1024
"April 6, 2021 at 01:26PM",Garden_Data,29.56,1024
"April 6, 2021 at 01:40PM",Garden_Data,30.56,1024
"April 6, 2021 at 01:55PM",Garden_Data,31.31,1024
"April 6, 2021 at 02:10PM",Garden_Data,31.81,1024
"April 6, 2021 at 02:25PM",Garden_Data,32.06,1024
"April 6, 2021 at 02:39PM",Garden_Data,31.81,1024
"April 6, 2021 at 02:53PM",Garden_Data,32.06,1024
"April 6, 2021 at 03:08PM",Garden_Data,32.56,1024
"April 6, 2021 at 03:23PM",Garden_Data,32.5,1024
"April 6, 2021 at 03:37PM",Garden_Data,32.63,1024
"April 6, 2021 at 03:51PM",Garden_Data,32.56,1024
"April 6, 2021 at 04:05PM",Garden_Data,32.5,1024
"April 6, 2021 at 04:20PM",Garden_Data,32.88,1024
"April 6, 2021 at 04:35PM",Garden_Data,33.25,1024
"April 6, 2021 at 04:49PM",Garden_Data,32.31,1024
"April 6, 2021 at 05:03PM",Garden_Data,31.5,1024
"April 6, 2021 at 05:17PM",Garden_Data,30.44,1024
"April 6, 2021 at 05:31PM",Garden_Data,29.5,1024
"April 6, 2021 at 05:46PM",Garden_Data,28.31,1024
"April 6, 2021 at 05:48PM",Garden_Data,28.19,1024
"April 6, 2021 at 06:03PM",Garden_Data,27.25,1024
"April 6, 2021 at 06:17PM",Garden_Data,26.56,1024
"April 6, 2021 at 06:33PM",Garden_Data,24.63,1024
"April 6, 2021 at 06:45PM",Garden_Data,24.75,1024
"April 6, 2021 at 06:54PM",Garden_Data,25.94,1024
"April 6, 2021 at 07:09PM",Garden_Data,25.31,1024
"April 6, 2021 at 07:23PM",Garden_Data,24.88,1024
"April 6, 2021 at 07:38PM",Garden_Data,24.44,1024
"April 6, 2021 at 07:52PM",Garden_Data,23.94,742
"April 6, 2021 at 08:07PM",Garden_Data,23.44,163
"April 6, 2021 at 08:21PM",Garden_Data,23,62
"April 6, 2021 at 08:35PM",Garden_Data,22.56,58
"April 6, 2021 at 08:50PM",Garden_Data,22.06,106
"April 6, 2021 at 09:04PM",Garden_Data,21.69,120
"April 6, 2021 at 09:19PM",Garden_Data,21.25,121
"April 6, 2021 at 09:33PM",Garden_Data,20.81,56
"April 6, 2021 at 09:48PM",Garden_Data,20.44,56
"April 6, 2021 at 10:02PM",Garden_Data,20,55
"April 6, 2021 at 10:17PM",Garden_Data,19.63,54
"April 6, 2021 at 10:31PM",Garden_Data,19.25,54
"April 6, 2021 at 10:45PM",Garden_Data,18.88,54
