,Day,Hour,Soil.Temp.C,Light,Soil.Moisture,Humidity,Air.Temp C,Light_Levels,Soil_Moisture_Levels,Week
1,6,12,27,1024,782,20.33333333,33.96666667,Sunny,Wet,Week 1
2,6,13,29.9975,1024,805.25,18,34.675,Sunny,Wet,Week 1
3,6,14,31.935,1024,811.5,14,39.4,Sunny,Wet,Week 1
4,6,15,32.5625,1024,815.75,17.75,48.15,Sunny,Wet,Week 1
5,6,16,32.735,1024,817.5,19.5,51.575,Sunny,Wet,Week 1
6,6,17,29.588,1024,805.5,17.25,31.075,Sunny,Wet,Week 1
7,6,18,25.826,1024,814.4,21.8,26.94,Sunny,Wet,Week 1
8,6,19,24.6425,953.5,828.5,24.75,24.925,Sunny,Wet,Week 1
9,6,20,22.765,97.25,841,35.5,21.85,Cloudy,Wet,Week 1
10,6,21,21.0475,88.25,851.25,44.5,18.975,Cloudy,Wet,Week 1
11,6,22,19.44,54.25,855.75,49.5,17.25,Cloudy,Wet,Week 1
12,6,23,17.888,49.2,847.8,54,15.9,Cloudy,Wet,Week 1
13,7,0,16.61,48,832.75,57.75,14.975,Cloudy,Wet,Week 1
14,7,1,15.655,41.25,831,58.25,14.475,Cloudy,Wet,Week 1
15,7,2,15.13,29,833,61,14.1,Dark,Wet,Week 1
16,7,7,11.38,1024,832,80.5,10.85,Sunny,Wet,Week 1
17,7,8,11.576,1024,815.8,74,13.5,Sunny,Wet,Week 1
18,7,9,13.064,1024,838.4,48.6,19.2,Sunny,Wet,Week 1
19,7,10,15.0025,566,846.5,36.75,23.1,Sunny,Wet,Week 1
20,7,11,16.875,134.75,842.75,29.75,27.325,Cloudy,Wet,Week 1
21,7,12,22.235,1024,834.5,21.75,33.875,Sunny,Wet,Week 1
22,7,13,28.985,1024,819.25,16.5,37.975,Sunny,Wet,Week 1
23,7,14,31.595,903.5,800,14.25,39.325,Sunny,Wet,Week 1
24,7,15,33.33333333,669.6666667,783,15.5,44.45,Sunny,Wet,Week 1
25,7,16,35.626,665.2,761,20.25,52.125,Sunny,Moist,Week 1
26,7,17,31.46,301.3333333,742,17.4,32.82,Cloudy,Moist,Week 1
27,7,18,27.9575,197.5,738.75,21,28.525,Cloudy,Moist,Week 1
28,7,19,25.94,55.25,736.25,27.5,26.025,Cloudy,Moist,Week 1
29,7,20,24.076,0,781.4,40,22.9,Dark,Wet,Week 1
30,7,21,22.80333333,68.33333333,792.5,51,20.6,Cloudy,Wet,Week 1
31,7,22,21.1425,0,782.5,56,18.825,Dark,Wet,Week 1
32,7,23,19.845,0,781.25,62.75,17.55,Dark,Wet,Week 1
33,8,0,18.6725,0,783,67,16.525,Dark,Wet,Week 1
34,8,1,17.5,0,787,70,15.55,Dark,Wet,Week 1
35,8,2,16.485,0,792.8,73.2,14.78,Dark,Wet,Week 1
36,8,3,15.69,0,797.25,76,14.15,Dark,Wet,Week 1
37,8,4,15,0,801.25,78,13.775,Dark,Wet,Week 1
38,8,5,14.44,0,804.75,81,13.525,Dark,Wet,Week 1
39,8,6,13.938,1.2,805.6,82.8,13.4,Dark,Wet,Week 1
40,8,7,13.645,86.75,810.25,85,13.425,Cloudy,Wet,Week 1
41,8,8,13.8925,190.75,811,79.5,15,Cloudy,Wet,Week 1
